Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.10.;Ogres novads;0040000;7;8
2021.07.10.;Olaines novads;0041000;no 1 līdz 5;7
2021.07.10.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.10.;Rēzeknes novads;0043000;7;11
2021.07.10.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.10.;Rīga;0001000;200;309
2021.07.10.;Ropažu novads;0044000;no 1 līdz 5;8
2021.07.10.;Salaspils novads;0045000;6;12
2021.07.10.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.10.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.10.;Siguldas novads;0048000;20;28
2021.07.10.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.10.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.10.;Tukuma novads;0052000;27;32
2021.07.10.;Valkas novads;0053000;0;0
2021.07.10.;Valmieras novads;0054000;7;19
2021.07.10.;Varakļānu novads;0055000;0;0
2021.07.10.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.10.;Ventspils pilsēta;0007000;14;19
2021.07.11.;Adrese nav norādīta;Nav;…;…
2021.07.11.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.11.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Augšdaugavas novads;0022000;15;26
2021.07.11.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Bauskas novads;0025000;7;13
2021.07.11.;Cēsu novads;0026000;9;10
2021.07.11.;Daugavpils pilsēta;0002000;10;19
2021.07.11.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.11.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Jelgavas pilsēta;0003000;16;20
2021.07.11.;Jēkabpils novads;0031000;9;12
2021.07.11.;Jūrmalas pilsēta;0004000;9;16
2021.07.11.;Krāslavas novads;0032000;13;15
2021.07.11.;Kuldīgas novads;0033000;7;9
2021.07.11.;Ķekavas novads;0034000;7;13
2021.07.11.;Liepājas pilsēta;0005000;9;14
2021.07.11.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.11.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Madonas novads;0038000;no 1 līdz 5;8
2021.07.11.;Mārupes novads;0039000;6;7
2021.07.11.;Ogres novads;0040000;7;8
2021.07.11.;Olaines novads;0041000;no 1 līdz 5;6
2021.07.11.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Rēzeknes novads;0043000;7;11
2021.07.11.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Rīga;0001000;219;307
2021.07.11.;Ropažu novads;0044000;no 1 līdz 5;9
2021.07.11.;Salaspils novads;0045000;6;12
2021.07.11.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Siguldas novads;0048000;20;28
2021.07.11.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.11.;Tukuma novads;0052000;28;32
2021.07.11.;Valkas novads;0053000;0;0
2021.07.11.;Valmieras novads;0054000;7;18
2021.07.11.;Varakļānu novads;0055000;0;0
2021.07.11.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.11.;Ventspils pilsēta;0007000;14;19
2021.07.12.;Adrese nav norādīta;Nav;…;…
2021.07.12.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.12.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Augšdaugavas novads;0022000;15;25
2021.07.12.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Bauskas novads;0025000;7;13
2021.07.12.;Cēsu novads;0026000;10;11
2021.07.12.;Daugavpils pilsēta;0002000;10;19
2021.07.12.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.12.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Jelgavas pilsēta;0003000;17;20
2021.07.12.;Jēkabpils novads;0031000;10;13
2021.07.12.;Jūrmalas pilsēta;0004000;10;15
2021.07.12.;Krāslavas novads;0032000;14;16
2021.07.12.;Kuldīgas novads;0033000;7;9
2021.07.12.;Ķekavas novads;0034000;8;12
2021.07.12.;Liepājas pilsēta;0005000;9;14
2021.07.12.;Limbažu novads;0035000;no 1 līdz 5;10
2021.07.12.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Madonas novads;0038000;no 1 līdz 5;8
2021.07.12.;Mārupes novads;0039000;7;8
2021.07.12.;Ogres novads;0040000;7;8
2021.07.12.;Olaines novads;0041000;no 1 līdz 5;7
2021.07.12.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Rēzeknes novads;0043000;7;11
